index,County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Total Actual Costs,Total Standardized Costs,Total Standardized Risk-Adjusted Costs,Actual Per Capita Costs,Standardized Per Capita Costs,Standardized Risk-Adjusted Per Capita Costs,IP Actual Costs,IP Actual Costs as % of Total Actual Costs,IP Per Capita Actual Costs,IP Per User Actual Costs,IP Standardized Costs,IP Standardized Costs as % of Total Standardized Costs,IP Per Capita Standardized Costs,IP Per User Standardized Costs,IP Users (with a covered stay),% of Beneficiaries Using IP,IP Covered Stays Per 1000 Beneficiaries,IP Covered Days Per 1000 Beneficiaries,PAC: LTCH Actual Costs,PAC: LTCH Actual Costs as % of Total Actual Costs,PAC: LTCH Per Capita Actual Costs,PAC: LTCH Per User Actual Costs,PAC: LTCH Standardized Costs,PAC: LTCH Standardized Costs as % of Total Standardized Costs,PAC: LTCH Per Capita Standardized Costs,PAC: LTCH Per User Standardized Costs,# PAC: LTCH Users (with a covered stay),% of Beneficiaries Using PAC: LTCH,PAC: LTCH Covered Stays Per 1000 Beneficiaries,PAC: LTCH Covered Days Per 1000 Beneficiaries,PAC: IRF Actual Costs,PAC: IRF Actual Costs as % of Total Actual Costs,PAC: IRF Per Capita Actual Costs,PAC: IRF Per User Actual Costs,PAC: IRF Standardized Costs,PAC: IRF Standardized Costs as % of Total Standardized Costs,PAC: IRF Per Capita Standardized Costs,PAC: IRF Per User Standardized Costs,# PAC: IRF Users (with a covered stay),% of Beneficiaries Using PAC: IRF,PAC: IRF Covered Stays Per 1000 Beneficiaries,PAC: IRF Covered Days Per 1000 Beneficiaries,PAC: SNF Actual Costs,PAC: SNF Actual Costs as % of Total Actual Costs,PAC: SNF Per Capita Actual Costs,PAC: SNF Per User Actual Costs,PAC: SNF Standardized Costs,PAC: SNF Standardized Costs as % of Total Standardized Costs,PAC: SNF Per Capita Standardized Costs,PAC: SNF Per User Standardized Costs,# PAC: SNF Users (with a covered stay),% of Beneficiaries Using PAC: SNF,PAC: SNF Covered Stays Per 1000 Beneficiaries,PAC: SNF Covered Days Per 1000 Beneficiaries,PAC: HH Actual Costs,PAC: HH Actual Costs as % of Total Actual Costs,PAC: HH Per Capita Actual Costs,PAC: HH Per User Actual Costs,PAC: HH Standardized Costs,PAC: HH Standardized Costs as % of Total Standardized Costs,PAC: HH Per Capita Standardized Costs,PAC: HH Per User Standardized Costs,# PAC: HH Users,% of Beneficiaries Using PAC: HH,PAC: HH Episodes Per 1000 Beneficiaries,PAC: HH Visits Per 1000 Beneficiaries,Hospice Actual Costs,Hospice Actual Costs as % of Total Actual Costs,Hospice Per Capita Actual Costs,Hospice Per User Actual Costs,Hospice Standardized Costs,Hospice Standardized Costs as % of Total Standardized Costs,Hospice Per Capita Standardized Costs,Hospice Per User Standardized Costs,# Hospice Users (with a covered stay),% of Beneficiaries Using Hospice,Hospice Covered Stays Per 1000 Beneficiaries,Hospice Covered Days Per 1000 Beneficiaries,OP Actual Costs,OP Actual Costs as % of Total Actual Costs,OP Per Capita Actual Costs,OP Per User Actual Costs,OP Standardized Costs,OP Standardized Costs as % of Total Standardized Costs,OP Per Capita Standardized Costs,OP Per User Standardized Costs,# OP Users,% of Beneficiaries Using OP,OP Visits Per 1000 Beneficiaries,FQHC/RHC Actual Costs,FQHC/RHC Actual Costs as % of Total Actual Costs,FQHC/RHC Per Capita Actual Costs,FQHC/RHC Per User Actual Costs,FQHC/RHC Standardized Costs,FQHC/RHC Standardized Costs as % of Total Standardized Costs,FQHC/RHC Per Capita Standardized Costs,FQHC/RHC Per User Standardized Costs,# FQHC/RHC Users,% of Beneficiaries Using FQHC/RHC,FQHC/RHC Visits Per 1000 Beneficiaries,Outpatient Dialysis Facility Actual Costs,Outpatient Dialysis Facility Actual Costs as % of Total Actual Costs,Outpatient Dialysis Facility Per Capita Actual Costs,Outpatient Dialysis Facility Per User Actual Costs,Outpatient Dialysis Facility Standardized Costs,Outpatient Dialysis Facility Standardized Costs as % of Total Standardized Costs,Outpatient Dialysis Facility Per Capita Standardized Costs,Outpatient Dialysis Facility Per User Standardized Costs,# Outpatient Dialysis Facility Users,% of Beneficiaries Using Outpatient Dialysis Facility,Outpatient Dialysis Facility Events Per 1000 Beneficiaries,ASC Actual Costs,ASC Actual Costs as % of Total Actual Costs,ASC Per Capita Actual Costs,ASC Per User Actual Costs,ASC Standardized Costs,ASC Standardized Costs as % of Total Standardized Costs,ASC Per Capita Standardized Costs,ASC Per User Standardized Costs,# ASC Users,% of Beneficiaries Using ASC,ASC Events Per 1000 Beneficiaries,E&M Actual Costs,E&M Actual Costs as % of Total Actual Costs,E&M Per Capita Actual Costs,E&M Per User Actual Costs,E&M Standardized Costs,E&M Standardized Costs as % of Total Standardized Costs,E&M Per Capita Standardized Costs,E&M Per User Standardized Costs,# E&M Users,% of Beneficiaries Using E&M,E&M Events Per 1000 Beneficiaries,Procedures Actual Costs,Procedures Actual Costs as % of Total Actual Costs,Procedures Per Capita Actual Costs,Procedures Per User Actual Costs,Procedures Standardized Costs,Procedures Standardized Costs as % of Total Standardized Costs,Procedures Per Capita Standardized Costs,Procedures Per User Standardized Costs,# Procedure Users,% of Beneficiaries Using Procedures,Procedure Events Per 1000 Beneficiaries,Imaging Actual Costs,Imaging Actual Costs as % of Total Actual Costs,Imaging Per Capita Actual Costs,Imaging Per User Actual Costs,Imaging Standardized Costs,Imaging Standardized Costs as % of Total Standardized Costs,Imaging Per Capita Standardized Costs,Imaging Per User Standardized Costs,# Imaging Users,% of Beneficiaries Using Imaging,Imaging Events Per 1000 Beneficiaries,DME Actual Costs,DME Actual Costs as % of Total Actual Costs,DME Per Capita Actual Costs,DME Per User Actual Costs,DME Standardized Costs,DME Standardized Costs as % of Total Standardized Costs,DME Per Capita Standardized Costs,DME Per User Standardized Costs,# DME Users,% of Beneficiaries Using DME,DME Events Per 1000 Beneficiaries,Tests Actual Costs,Tests Actual Costs as % of Total Actual Costs,Tests Per Capita Actual Costs,Tests Per User Actual Costs,Tests Standardized Costs,Tests Standardized Costs as % of Total Standardized Costs,Tests Per Capita Standardized Costs,Tests Per User Standardized Costs,# Test Users,% of Beneficiaries Using Tests,Test Events Per 1000 Beneficiaries,Part B Drugs Actual Costs,Part B Drugs Actual Costs as % of Total Actual Costs,Part B Drugs Per Capita Actual Costs,Part B Drugs Per User Actual Costs,Part B Drugs Standardized Costs,Part B Drugs Standardized Costs as % of Total Standardized Costs,Part B Drugs Per Capita Standardized Costs,Part B Drugs Per User Standardized Costs,# Part B Drugs Users,% of Beneficiaries Using Part B Drugs,Ambulance Actual Costs,Ambulance Actual Costs as % of Total Actual Costs,Ambulance Per Capita Actual Costs,Ambulance Per User Actual Costs,Ambulance Standardized Costs,Ambulance Standardized Costs as % of Total Standardized Costs,Ambulance Per Capita Standardized Costs,Ambulance Per User Standardized Costs,# Ambulance Users,% of Beneficiaries Using Ambulance,Ambulance Events Per 1000 Beneficiaries,Number of Acute Hospital Readmissions,Hospital Readmission Rate,Emergency Department Visits,Emergency Department Visits per 1000 Beneficiaries
0,ADAMS,530012007.0,200753001.0,2007,53001,$10925695.00,$10255961.00,$12376024.00,$7463.00,$7005.00,$8454.00,$4075108.00,37.3%,$2784.00,$15981.00,$3397053.00,33.1%,$2320.00,$13322.00,* 255,17.4%,251,1203,,,,,,,,,,,,,$173095.00,1.6%,$118.00,$15736.00,$152546.00,1.5%,$104.00,$13868.00,11.0,0.8%,9.0,92.0,$989095.00,9%,$676.00,$15700.00,$948321.00,9.3%,$648.00,$15053.00,63,4.3%,64,1986,$102671.00,0.9%,$70.00,$3803.00,$98054.00,1%,$67.00,$3632.00,27.0,1.8%,31.0,375.0,$132887.00,1.2%,$91.00,$8305.00,$124693.00,1.2%,$85.00,$7793.00,16.0,1.1%,11.0,634.0,$1664842.00,15.2%,$1137.00,$1668.00,$1633938.00,15.9%,$1116.00,$1637.00,998,68.2%,3943,$414477.00,3.8%,$283.00,$400.00,$433524.00,4.2%,$296.00,$419.00,1035,70.7%,3844,$269221.00,2.5%,$184.00,$19230.00,$264330.00,2.6%,$181.00,$18881.00,14.0,1%,"* 1,068",$122940.00,1.1%,$84.00,$665.00,$125352.00,1.2%,85.62,677.58,185,12.6%,198,$516785.00,4.7%,$353.00,$450.00,$530388.00,5.2%,$362.00,$462.00,1148,78.4%,5844,$764599.00,7%,$522.00,$1026.00,$790578.00,7.7%,$540.00,$1061.00,745,50.9%,3312,$451681.00,4.1%,$309.00,$443.00,$503184.00,4.9%,$344.00,$493.00,1020,69.7%,3480,$365429.00,3.3%,$250.00,$765.00,$366948.00,3.6%,$251.00,$768.00,478,32.7%,2416,$236879.00,2.2%,$162.00,$225.00,$245493.00,2.4%,$168.00,$234.00,1051,71.8%,7357,$348214.00,3.2%,$238.00,$799.00,$348214.00,3.4%,$238.00,$799.00,436,29.8%,$127380.00,1.2%,$87.00,$1654.00,$123520.00,1.2%,$84.00,$1604.00,77,5.3%,121,60.0,16.6%,640,437
1,ASOTIN,530032007.0,200753003.0,2007,53003,$29456911.00,$29105477.00,$33797327.00,$7078.00,$6993.00,$8120.00,$10438099.00,35.4%,$2508.00,$13862.00,$9483687.00,32.6%,$2279.00,$12595.00,* 753,18.1%,264,1347,,,,,,,,,,,,,,,,,,,,,,,,,$3430419.00,11.7%,$824.00,$13296.00,$3551919.00,12.2%,$853.00,$13767.00,258,6.2%,79,2488,$499210.00,1.7%,$120.00,$2886.00,$517943.00,1.8%,$124.00,$2994.00,173.0,4.2%,55.0,732.0,$129443.00,0.4%,$31.00,$4045.00,$124846.00,0.4%,$30.00,$3901.00,32.0,0.8%,8.0,219.0,$4860190.00,16.5%,$1168.00,$1722.00,$4814792.00,16.5%,$1157.00,$1706.00,2822,67.8%,3801,$20814.00,0.1%,$5.00,$297.00,$21366.00,0.1%,$5.00,$305.00,70,1.7%,64,$437577.00,1.5%,$105.00,$18232.00,$439566.00,1.5%,$106.00,$18315.00,24.0,0.6%,* 564,$867816.00,2.9%,$209.00,$825.00,$968190.00,3.3%,232.63,920.33,1052,25.3%,531,$2000302.00,6.8%,$481.00,$526.00,$2162992.00,7.4%,$520.00,$569.00,3803,91.4%,9847,$2341935.00,8%,$563.00,$890.00,$2489001.00,8.6%,$598.00,$946.00,2630,63.2%,5437,$749199.00,2.5%,$180.00,$247.00,$805555.00,2.8%,$194.00,$265.00,3037,73%,4308,$1200416.00,4.1%,$288.00,$897.00,$1206211.00,4.1%,$290.00,$902.00,1338,32.2%,2405,$1102958.00,3.7%,$265.00,$314.00,$1149587.00,4%,$276.00,$327.00,3511,84.4%,12636,$384371.00,1.3%,$92.00,$154.00,$384371.00,1.3%,$92.00,$154.00,2494,59.9%,$381034.00,1.3%,$92.00,$790.00,$394474.00,1.4%,$95.00,$818.00,483,11.6%,252,136.0,13.1%,3594,864
2,BENTON,530052007.0,200753005.0,2007,53005,$123416117.00,$117260991.00,$132173174.00,$6711.00,$6376.00,$7187.00,$40934449.00,33.2%,$2226.00,$13820.00,$33815501.00,28.8%,$1839.00,$11416.00,"* 2,962",16.1%,238,1120,$717442.00,0.6%,$39.00,$39858.00,$688441.00,0.6%,$37.00,$38247.00,18.0,0.1%,1.0,28.0,$3161444.00,2.6%,$172.00,$14436.00,$3030054.00,2.6%,$165.00,$13836.00,219.0,1.2%,12.0,109.0,$8302670.00,6.7%,$451.00,$13769.00,$8229168.00,7%,$447.00,$13647.00,603,3.3%,45,1356,$3052348.00,2.5%,$166.00,$3782.00,$2997130.00,2.6%,$163.00,$3714.00,807.0,4.4%,62.0,812.0,$3905289.00,3.2%,$212.00,$8564.00,$3607644.00,3.1%,$196.00,$7912.00,456.0,2.5%,26.0,1415.0,$15388888.00,12.5%,$837.00,$1177.00,$15526623.00,13.2%,$844.00,$1187.00,13079,71.1%,4268,$678917.00,0.5%,$37.00,$374.00,$659853.00,0.6%,$36.00,$363.00,1817,9.9%,432,$2611608.00,2.1%,$142.00,$18522.00,$2557563.00,2.2%,$139.00,$18139.00,141.0,0.8%,* 769,$2208843.00,1.8%,$120.00,$762.00,$2271279.00,1.9%,123.5,783.47,2899,15.8%,297,$11776372.00,9.5%,$640.00,$717.00,$12299290.00,10.5%,$669.00,$749.00,16427,89.3%,11032,$9301787.00,7.5%,$506.00,$867.00,$9710342.00,8.3%,$528.00,$905.00,10730,58.3%,4570,$3421646.00,2.8%,$186.00,$269.00,$3703402.00,3.2%,$201.00,$291.00,12724,69.2%,3231,$4262095.00,3.5%,$232.00,$772.00,$4294049.00,3.7%,$233.00,$778.00,5520,30%,1994,$4507874.00,3.7%,$245.00,$300.00,$4713047.00,4%,$256.00,$313.00,15041,81.8%,11157,$6536341.00,5.3%,$355.00,$668.00,$6536341.00,5.6%,$355.00,$668.00,9792,53.2%,$1551060.00,1.3%,$84.00,$849.00,$1531756.00,1.3%,$83.00,$839.00,1826,9.9%,234,666.0,16%,12411,675
3,FERRY,530192007.0,200753019.0,2007,53019,$8108576.00,$7629980.00,$10799497.00,$6924.00,$6516.00,$9222.00,$3204521.00,39.5%,$2737.00,$15333.00,$2761319.00,36.2%,$2358.00,$13212.00,* 209,17.8%,272,1345,,,,,,,,,,,,,,,,,,,,,,,,,$378408.00,4.7%,$323.00,$11130.00,$361667.00,4.7%,$309.00,$10637.00,34,2.9%,31,610,$151515.00,1.9%,$129.00,$3695.00,$148708.00,2%,$127.00,$3627.00,41.0,3.5%,56.0,781.0,$430640.00,5.3%,$368.00,$15950.00,$399295.00,5.2%,$341.00,$14789.00,27.0,2.3%,23.0,2549.0,$1221445.00,15.1%,$1043.00,$1517.00,$1192601.00,15.6%,$1018.00,$1481.00,805,68.7%,4528,$382557.00,4.7%,$327.00,$511.00,$401416.00,5.3%,$343.00,$537.00,748,63.9%,3149,,,,,,,,,,,,$59281.00,0.7%,$51.00,$770.00,$62601.00,0.8%,53.46,813.0,77,6.6%,128,$360557.00,4.5%,$308.00,$452.00,$372093.00,4.9%,$318.00,$466.00,798,68.2%,4890,$442087.00,5.5%,$378.00,$974.00,$453253.00,5.9%,$387.00,$998.00,454,38.8%,2204,$233921.00,2.9%,$200.00,$400.00,$252236.00,3.3%,$215.00,$431.00,585,50%,2309,$299786.00,3.7%,$256.00,$1006.00,$300680.00,3.9%,$257.00,$1009.00,298,25.5%,2141,$114297.00,1.4%,$98.00,$192.00,$118895.00,1.6%,$102.00,$200.00,595,50.8%,3614,$341564.00,4.2%,$292.00,$999.00,$341564.00,4.5%,$292.00,$999.00,342,29.2%,$211576.00,2.6%,$181.00,$1864.00,$200744.00,2.6%,$171.00,$1769.00,114,9.7%,192,64.0,21.3%,709,605
4,CHELAN,530072007.0,200753007.0,2007,53007,$50084067.00,$47100605.00,$58037605.00,$6194.00,$5825.00,$7178.00,$17903662.00,35.8%,$2214.00,$13242.00,$14786422.00,31.4%,$1829.00,$10937.00,"* 1,352",16.7%,240,971,,,,,,,,,,,,,$559784.00,1.1%,$69.00,$21530.00,$485708.00,1%,$60.00,$18681.00,26.0,0.3%,4.0,49.0,$3151121.00,6.3%,$390.00,$10539.00,$3030298.00,6.4%,$375.00,$10135.00,299,3.7%,46,801,$1303691.00,2.6%,$161.00,$3413.00,$1291579.00,2.7%,$160.00,$3381.00,382.0,4.7%,69.0,829.0,$970026.00,1.9%,$120.00,$7133.00,$901350.00,1.9%,$111.00,$6628.00,136.0,1.7%,17.0,838.0,$8667704.00,17.3%,$1072.00,$1489.00,$8508569.00,18.1%,$1052.00,$1462.00,5820,72%,5246,$2527045.00,5.1%,$313.00,$423.00,$2520105.00,5.4%,$312.00,$422.00,5969,73.8%,3749,$1121393.00,2.2%,$139.00,$23859.00,$1157717.00,2.5%,$143.00,$24632.00,47.0,0.6%,* 792,$467792.00,0.9%,$58.00,$443.00,$472019.00,1%,58.37,446.56,1057,13.1%,181,$2556652.00,5.1%,$316.00,$401.00,$2658107.00,5.6%,$329.00,$417.00,6381,78.9%,5530,$3666667.00,7.3%,$453.00,$862.00,$3796349.00,8.1%,$470.00,$892.00,4254,52.6%,3156,$1923172.00,3.8%,$238.00,$362.00,$2261914.00,4.8%,$280.00,$425.00,5316,65.7%,3082,$1915579.00,3.8%,$237.00,$819.00,$1936811.00,4.1%,$240.00,$828.00,2338,28.9%,2076,$1319327.00,2.6%,$163.00,$218.00,$1368531.00,2.9%,$169.00,$226.00,6049,74.8%,8275,$573910.00,1.2%,$71.00,$191.00,$573910.00,1.2%,$71.00,$191.00,3009,37.2%,$637420.00,1.3%,$79.00,$906.00,$535918.00,1.1%,$66.00,$762.00,704,8.7%,190,268.0,14.3%,4420,547
5,CLALLAM,530092007.0,200753009.0,2007,53009,$100220116.00,$93497165.00,$122710790.00,$5757.00,$5371.00,$7050.00,$35726059.00,35.7%,$2052.00,$13767.00,$29572969.00,31.6%,$1699.00,$11396.00,"* 2,595",14.9%,212,1010,,,,,,,,,,,,,$785051.00,0.8%,$45.00,$19148.00,$675335.00,0.7%,$39.00,$16472.00,41.0,0.2%,2.0,32.0,$9073220.00,9%,$521.00,$13093.00,$8692487.00,9.3%,$499.00,$12543.00,693,4%,51,1380,$3921214.00,3.9%,$225.00,$3837.00,$3847740.00,4.1%,$221.00,$3765.00,1022.0,5.9%,83.0,1136.0,$1029402.00,1%,$59.00,$8170.00,$945888.00,1%,$54.00,$7507.00,126.0,0.7%,7.0,408.0,$17847977.00,17.8%,$1025.00,$1216.00,$17190278.00,18.4%,$988.00,$1171.00,14674,84.3%,6490,$1563607.00,1.6%,$90.00,$359.00,$1636753.00,1.8%,$94.00,$375.00,4359,25%,1233,$1190590.00,1.2%,$68.00,$18603.00,$1164285.00,1.3%,$67.00,$18192.00,64.0,0.4%,* 508,$1290783.00,1.3%,$74.00,$749.00,$1362376.00,1.5%,78.27,790.7,1723,9.9%,180,$8613166.00,8.6%,$495.00,$562.00,$8923417.00,9.5%,$513.00,$582.00,15339,88.1%,9202,$6593582.00,6.6%,$379.00,$648.00,$6702943.00,7.2%,$385.00,$658.00,10183,58.5%,2998,$2557207.00,2.6%,$147.00,$223.00,$2877124.00,3.1%,$165.00,$251.00,11455,65.8%,2769,$3043374.00,3%,$175.00,$657.00,$3062803.00,3.3%,$176.00,$661.00,4631,26.6%,1639,$1648411.00,1.6%,$95.00,$151.00,$1674506.00,1.8%,$96.00,$154.00,10896,62.6%,3490,$1718707.00,1.7%,$99.00,$180.00,$1718707.00,1.8%,$99.00,$180.00,9541,54.8%,$2080114.00,2.1%,$120.00,$1125.00,$1967603.00,2.1%,$113.00,$1064.00,1850,10.6%,270,480.0,13.6%,8874,510
6,CLARK,530112007.0,200753011.0,2007,53011,$165666091.00,$151260538.00,$166689840.00,$6561.00,$5991.00,$6602.00,$66072030.00,39.9%,$2617.00,$15206.00,$52185014.00,34.5%,$2067.00,$12010.00,"* 4,345",17.2%,270,1400,,,,,,,,,,,,,$1905799.00,1.2%,$75.00,$21176.00,$1693069.00,1.1%,$67.00,$18812.00,90.0,0.4%,4.0,51.0,$11947079.00,7.2%,$473.00,$12342.00,$10972811.00,7.2%,$435.00,$11336.00,968,3.8%,51,1303,$6297680.00,3.8%,$249.00,$4337.00,$5790347.00,3.8%,$229.00,$3988.00,1452.0,5.8%,86.0,1186.0,$5366611.00,3.2%,$213.00,$7974.00,$4763911.00,3.2%,$189.00,$7079.00,673.0,2.7%,28.0,1294.0,$18060695.00,10.9%,$715.00,$1361.00,$18003537.00,11.9%,$713.00,$1357.00,13271,52.6%,3134,$223380.00,0.1%,$9.00,$272.00,$214782.00,0.1%,$9.00,$262.00,821,3.3%,106,$3311495.00,2%,$131.00,$20441.00,$3168070.00,2.1%,$125.00,$19556.00,162.0,0.6%,* 831,$1762779.00,1.1%,$70.00,$715.00,$1814817.00,1.2%,71.87,736.23,2465,9.8%,157,$15134496.00,9.1%,$599.00,$710.00,$15955440.00,10.5%,$632.00,$749.00,21303,84.4%,10374,$10176788.00,6.1%,$403.00,$728.00,$10543184.00,7%,$418.00,$755.00,13970,55.3%,3442,$5668096.00,3.4%,$224.00,$355.00,$6324782.00,4.2%,$250.00,$396.00,15955,63.2%,3497,$5212578.00,3.2%,$206.00,$757.00,$5302739.00,3.5%,$210.00,$770.00,6884,27.3%,1846,$3803676.00,2.3%,$151.00,$210.00,$3936706.00,2.6%,$156.00,$217.00,18107,71.7%,7667,$6143838.00,3.7%,$243.00,$490.00,$6143838.00,4.1%,$243.00,$490.00,12532,49.6%,$2767136.00,1.7%,$110.00,$804.00,$2605526.00,1.7%,$103.00,$757.00,3444,13.6%,337,1157.0,17.4%,16415,650
7,COLUMBIA,530132007.0,200753013.0,2007,53013,$6477521.00,$6172429.00,$7870596.00,$7909.00,$7537.00,$9610.00,$2099111.00,32.4%,$2563.00,$15549.00,$1770030.00,28.7%,$2161.00,$13111.00,* 135,16.5%,244,1081,,,,,,,,,0.0,0%,0.0,0.0,,,,,,,,,,,,,$1133168.00,17.5%,$1384.00,$24634.00,$1091325.00,17.7%,$1333.00,$23724.00,46,5.6%,68,1394,$106201.00,1.6%,$130.00,$3662.00,$109662.00,1.8%,$134.00,$3781.00,29.0,3.5%,54.0,759.0,,,,,,,,,,,,,$1363936.00,21.1%,$1665.00,$2125.00,$1355310.00,22%,$1655.00,$2111.00,642,78.4%,6962,$253318.00,3.9%,$309.00,$509.00,$266016.00,4.3%,$325.00,$534.00,498,60.8%,3225,,,,,,,,,,,,$61362.00,1%,$75.00,$748.00,$65279.00,1.1%,79.70999999999998,796.08,82,10%,183,$335070.00,5.2%,$409.00,$502.00,$372705.00,6%,$455.00,$558.00,668,81.6%,7668,$324123.00,5%,$396.00,$770.00,$337309.00,5.5%,$412.00,$801.00,421,51.4%,2668,$125832.00,1.9%,$154.00,$228.00,$132456.00,2.2%,$162.00,$240.00,553,67.5%,3049,$169642.00,2.6%,$207.00,$816.00,$169919.00,2.8%,$207.00,$817.00,208,25.4%,1707,$91569.00,1.4%,$112.00,$190.00,$95254.00,1.5%,$116.00,$198.00,481,58.7%,3355,$85766.00,1.3%,$105.00,$342.00,$85766.00,1.4%,$105.00,$342.00,251,30.7%,$132052.00,2%,$161.00,$1301.00,$125855.00,2%,$154.00,$1240.00,102,12.4%,253,38.0,19.4%,456,557
8,COWLITZ,530152007.0,200753015.0,2007,53015,$71753292.00,$64706447.00,$70338756.00,$6925.00,$6245.00,$6789.00,$30418078.00,42.4%,$2936.00,$16284.00,$23065444.00,35.7%,$2226.00,$12348.00,"* 1,868",18%,277,1392,,,,,,,,,,,,,$245589.00,0.3%,$24.00,$20466.00,$235058.00,0.4%,$23.00,$19588.00,12.0,0.1%,1.0,19.0,$5351127.00,7.5%,$516.00,$12273.00,$5291347.00,8.2%,$511.00,$12136.00,436,4.2%,54,1621,$1512601.00,2.1%,$146.00,$3376.00,$1498662.00,2.3%,$145.00,$3345.00,448.0,4.3%,62.0,767.0,$2737398.00,3.8%,$264.00,$7912.00,$2667467.00,4.1%,$257.00,$7709.00,346.0,3.3%,34.0,1576.0,$10677807.00,14.9%,$1031.00,$1388.00,$10452852.00,16.2%,$1009.00,$1359.00,7691,74.2%,6575,$192155.00,0.3%,$19.00,$324.00,$197822.00,0.3%,$19.00,$334.00,593,5.7%,241,$1774894.00,2.5%,$171.00,$21645.00,$1870798.00,2.9%,$181.00,$22815.00,82.0,0.8%,* 993,$514360.00,0.7%,$50.00,$776.00,$534311.00,0.8%,51.57,805.9,663,6.4%,120,$5615890.00,7.8%,$542.00,$629.00,$5948342.00,9.2%,$574.00,$666.00,8931,86.2%,9983,$3955046.00,5.5%,$382.00,$697.00,$4073670.00,6.3%,$393.00,$718.00,5673,54.8%,3353,$1786989.00,2.5%,$172.00,$260.00,$1940903.00,3%,$187.00,$282.00,6883,66.4%,3338,$2575176.00,3.6%,$249.00,$852.00,$2600831.00,4%,$251.00,$860.00,3024,29.2%,2167,$1208475.00,1.7%,$117.00,$190.00,$1238869.00,1.9%,$120.00,$194.00,6374,61.5%,4953,$1169683.00,1.6%,$113.00,$255.00,$1169683.00,1.8%,$113.00,$255.00,4582,44.2%,$1030602.00,1.4%,$99.00,$730.00,$974031.00,1.5%,$94.00,$690.00,1411,13.6%,319,496.0,17.6%,6791,655
9,DOUGLAS,530172007.0,200753017.0,2007,53017,$47021511.00,$44250976.00,$52635718.00,$6832.00,$6429.00,$7647.00,$17140941.00,36.4%,$2490.00,$12859.00,$14141189.00,32%,$2055.00,$10609.00,"* 1,333",19.4%,271,1190,,,,,,,,,,,,,$530696.00,1.1%,$77.00,$19655.00,$489058.00,1.1%,$71.00,$18113.00,27.0,0.4%,4.0,57.0,$2005435.00,4.3%,$291.00,$6939.00,$1933162.00,4.4%,$281.00,$6689.00,289,4.2%,47,755,$1259006.00,2.7%,$183.00,$3204.00,$1238219.00,2.8%,$180.00,$3151.00,393.0,5.7%,80.0,904.0,$983965.00,2.1%,$143.00,$6604.00,$931154.00,2.1%,$135.00,$6249.00,149.0,2.2%,22.0,1014.0,$7358702.00,15.7%,$1069.00,$1463.00,$7237450.00,16.4%,$1052.00,$1439.00,5029,73.1%,5594,$2508372.00,5.3%,$364.00,$478.00,$2501720.00,5.7%,$363.00,$477.00,5248,76.3%,4230,$1233189.00,2.6%,$179.00,$21635.00,$1279143.00,2.9%,$186.00,$22441.00,57.0,0.8%,"* 1,014",$427348.00,0.9%,$62.00,$434.00,$429355.00,1%,62.38,435.89,985,14.3%,197,$2484428.00,5.3%,$361.00,$440.00,$2596148.00,5.9%,$377.00,$460.00,5647,82%,6381,$3530122.00,7.5%,$513.00,$902.00,$3678014.00,8.3%,$534.00,$939.00,3915,56.9%,4062,$1967168.00,4.2%,$286.00,$400.00,$2296805.00,5.2%,$334.00,$467.00,4915,71.4%,3717,$1930466.00,4.1%,$280.00,$845.00,$1943816.00,4.4%,$282.00,$851.00,2284,33.2%,2454,$1326360.00,2.8%,$193.00,$239.00,$1370729.00,3.1%,$199.00,$247.00,5555,80.7%,10122,$543834.00,1.2%,$79.00,$174.00,$543834.00,1.2%,$79.00,$174.00,3121,45.3%,$786766.00,1.7%,$114.00,$872.00,$650068.00,1.5%,$94.00,$720.00,902,13.1%,272,239.0,13.4%,3827,556
